,Customer ID,Recency,Frequency,Monetary,Cluster
466,12821.0,214,2,220.8,0
467,12822.0,71,2,948.88,2
469,12824.0,60,1,397.12,0
470,12825.0,521,2,518.63,0
472,12827.0,6,3,430.15000000000003,0
473,12828.0,3,6,1018.71,2
474,12829.0,337,3,385.3,0
476,12831.0,262,3,451.11,0
477,12832.0,32,2,383.03,0
478,12833.0,145,1,417.38,0
479,12834.0,283,1,312.38,0
482,12837.0,173,2,662.66,2
487,12842.0,70,4,1917.99,1
489,12844.0,29,4,648.6,2
490,12845.0,267,4,354.09,0
491,12847.0,22,2,1609.0,1
492,12848.0,676,1,208.0,0
494,12850.0,446,1,330.0,0
495,12851.0,97,2,280.76,0
496,12852.0,295,1,311.55,0
499,12855.0,373,4,612.84,0
500,12856.0,8,6,2170.78,1
502,12858.0,383,1,147.27,0
503,12859.0,459,1,575.1,0
504,12860.0,693,1,54.22,0
505,12861.0,620,1,68.25,0
506,12862.0,426,2,984.62,2
508,12864.0,138,2,299.57,0
510,12866.0,283,3,1092.35,2
513,12869.0,682,1,337.66999999999996,0
514,12870.0,375,3,1676.95,1
515,12871.0,84,3,744.02,2
517,12873.0,282,3,2027.3,1
518,12874.0,385,2,873.42,2
519,12875.0,143,5,1356.99,1
522,12878.0,236,2,854.99,2
523,12879.0,45,3,573.22,2
524,12880.0,382,2,640.13,2
525,12881.0,276,1,298.0,0
526,12882.0,9,2,1463.04,1
527,12883.0,25,4,703.47,2
528,12884.0,88,1,309.05,0
529,12885.0,63,3,1175.22,2
530,12886.0,68,2,1378.4,1
531,12887.0,384,1,222.4,0
532,12888.0,214,2,354.12,0
533,12889.0,381,4,385.46000000000004,0
534,12890.0,24,2,706.02,2
536,12892.0,397,1,263.38,0
537,12893.0,31,1,176.55,0
538,12894.0,575,1,157.35,0
539,12895.0,42,2,372.8,0
540,12897.0,205,4,514.25,0
541,12898.0,464,2,296.21000000000004,0
542,12899.0,414,1,366.4,0
543,12900.0,422,1,340.33,0
545,12902.0,265,1,138.68,0
546,12903.0,429,1,833.53,2
547,12904.0,18,2,496.06,0
548,12905.0,577,2,1018.42,2
550,12907.0,396,2,508.91,0
551,12908.0,176,5,1776.0,1
554,12911.0,552,1,1651.72,1
555,12912.0,3,5,1662.3,1
557,12914.0,401,1,223.98,0
558,12915.0,149,4,975.1,2
561,12919.0,8,6,1335.19,1
562,12920.0,17,4,486.64,0
564,12922.0,161,1,405.38,0
565,12923.0,64,3,769.17,2
567,12925.0,5,3,729.3299999999999,2
568,12926.0,411,4,1523.59,1
569,12927.0,395,1,197.31,0
571,12929.0,312,1,117.85,0
572,12930.0,78,2,415.8,0
576,12934.0,737,1,181.65,0
578,12936.0,17,4,1063.9,2
580,12938.0,26,1,114.14,0
582,12940.0,55,2,899.69,2
583,12941.0,724,1,377.49,0
584,12942.0,131,3,675.6,2
585,12943.0,558,2,496.5,0
586,12944.0,36,2,604.51,2
587,12945.0,288,2,900.11,2
588,12946.0,437,1,324.45,0
589,12947.0,144,6,1603.99,1
592,12950.0,2,3,1843.0,1
594,12952.0,6,4,1387.79,1
595,12953.0,10,2,828.8100000000001,2
596,12954.0,639,1,162.45,0
598,12956.0,306,4,521.89,0
600,12958.0,400,2,467.34,0
601,12959.0,484,1,150.95,0
602,12960.0,414,4,1322.07,1
603,12961.0,379,1,211.99,0
604,12962.0,7,2,266.39,0
606,12964.0,437,1,132.24,0
607,12965.0,89,1,769.8100000000001,2
608,12966.0,10,1,160.18,0
610,12968.0,112,1,135.95,0
611,12969.0,603,1,122.45,0
614,12972.0,414,4,1161.2,2
615,12973.0,414,1,385.55,0
616,12974.0,198,2,408.95,0
617,12975.0,437,6,2100.09,1
619,12977.0,156,4,513.88,0
621,12979.0,729,1,517.7,0
623,12981.0,30,2,372.21999999999997,0
625,12983.0,598,1,490.08000000000004,0
626,12984.0,19,1,97.5,0
627,12985.0,1,2,1239.38,2
629,12987.0,74,5,1312.21,1
630,12988.0,292,1,505.82,0
632,12990.0,31,7,955.5,2
633,12991.0,23,3,764.82,2
634,12992.0,725,1,93.35000000000001,0
636,12994.0,4,3,974.4200000000001,2
637,12995.0,85,1,211.32,0
638,12996.0,376,1,355.5,0
640,12998.0,493,3,920.08,2
641,12999.0,196,3,455.88,0
642,13000.0,107,4,1032.5,2
644,13002.0,318,3,414.13,0
645,13003.0,106,3,149.05,0
647,13005.0,174,4,999.68,2
648,13006.0,56,1,81.57,0
649,13007.0,580,1,175.25,0
650,13008.0,323,3,612.13,2
651,13009.0,673,1,234.0,0
652,13010.0,374,2,330.12,0
653,13011.0,372,1,50.550000000000004,0
658,13016.0,73,3,789.89,2
659,13017.0,7,1,204.0,0
661,13019.0,379,6,1229.95,2
662,13020.0,563,2,618.96,0
664,13022.0,430,1,50.3,0
665,13023.0,64,3,1251.03,2
666,13024.0,471,2,555.87,0
667,13025.0,732,1,323.39,0
670,13028.0,23,2,661.3199999999999,2
671,13029.0,31,5,1927.3,1
672,13030.0,11,2,752.4399999999999,2
675,13033.0,357,2,220.55,0
676,13034.0,55,3,756.82,2
677,13035.0,74,3,1364.2,1
678,13036.0,685,1,307.1,0
680,13038.0,80,3,908.46,2
681,13039.0,584,4,1010.73,2
682,13040.0,9,2,676.99,2
683,13041.0,451,4,799.13,2
684,13042.0,598,3,1488.59,1
685,13043.0,273,1,516.42,0
687,13045.0,99,3,808.92,2
688,13046.0,31,3,949.25,2
691,13049.0,64,4,1408.24,1
693,13051.0,579,2,155.8,0
695,13053.0,622,1,127.65,0
697,13056.0,551,1,209.48,0
698,13057.0,530,3,709.59,2
699,13058.0,25,3,271.40000000000003,0
701,13060.0,254,1,307.53,0
702,13061.0,72,1,248.61,0
703,13062.0,191,1,346.98,0
704,13063.0,481,1,188.4,0
705,13064.0,13,6,1666.8400000000001,1
706,13065.0,373,5,1055.05,2
707,13066.0,24,2,470.8,0
708,13067.0,82,3,508.51,0
709,13068.0,10,2,344.0,0
711,13070.0,192,4,751.7,2
712,13071.0,612,1,129.22,0
713,13072.0,267,1,177.15,0
714,13073.0,411,2,418.08,0
715,13074.0,511,4,1378.74,1
716,13075.0,130,1,919.61,2
717,13076.0,458,1,135.4,0
720,13079.0,4,6,419.18,0
721,13080.0,179,4,280.73,0
724,13083.0,4,3,395.43,0
725,13084.0,492,1,122.39999999999999,0
727,13086.0,383,1,439.33000000000004,0
728,13087.0,726,1,313.64,0
729,13088.0,417,1,236.11,0
732,13091.0,28,2,1108.8,2
736,13095.0,71,1,74.39999999999999,0
737,13096.0,394,1,419.70000000000005,0
740,13099.0,99,1,207.35999999999999,0
741,13101.0,234,4,695.4,2
743,13103.0,40,3,709.64,2
745,13105.0,436,1,72.0,0
746,13106.0,133,2,603.46,2
748,13108.0,373,2,748.46,2
749,13109.0,60,3,1134.03,2
751,13111.0,719,1,321.88000000000005,0
752,13112.0,541,1,20.6,0
754,13114.0,731,1,234.38,0
756,13116.0,138,1,501.14,0
759,13119.0,669,1,134.9,0
760,13120.0,239,1,30.599999999999998,0
761,13121.0,269,1,283.73,0
762,13122.0,94,2,922.39,2
763,13123.0,473,2,506.75,0
765,13125.0,524,1,148.62,0
767,13127.0,78,1,259.17,0
768,13128.0,631,1,263.5,0
769,13129.0,452,2,233.25,0
770,13130.0,94,1,64.0,0
772,13132.0,262,1,77.3,0
773,13133.0,274,3,200.45000000000002,0
778,13138.0,22,7,1274.01,2
780,13140.0,108,5,1054.92,2
782,13142.0,19,1,307.09,0
783,13143.0,585,1,405.1,0
784,13144.0,333,2,135.35,0
785,13145.0,40,7,1128.52,2
786,13146.0,26,1,228.91,0
787,13147.0,10,4,712.8000000000001,2
789,13149.0,14,4,1676.06,1
790,13150.0,484,3,449.96999999999997,0
792,13152.0,417,7,2146.38,1
793,13153.0,6,1,486.22,0
794,13154.0,399,3,1624.84,1
795,13155.0,33,6,1370.48,1
796,13156.0,385,3,1586.54,1
798,13158.0,95,5,1508.18,1
799,13159.0,9,4,1429.35,1
800,13160.0,22,1,91.8,0
801,13161.0,313,2,472.13,0
803,13163.0,610,1,17.65,0
804,13164.0,569,2,372.2,0
805,13165.0,46,3,1451.16,1
806,13166.0,283,2,875.93,2
807,13167.0,19,5,1113.15,2
808,13168.0,36,5,1840.73,1
809,13169.0,64,3,840.08,2
810,13170.0,27,1,108.81,0
811,13171.0,22,3,468.41,0
812,13172.0,400,1,69.6,0
815,13175.0,582,2,831.45,2
816,13176.0,46,1,481.49,0
817,13177.0,65,2,512.2,0
819,13179.0,619,1,572.3100000000001,0
820,13180.0,607,1,86.10000000000001,0
821,13181.0,381,1,359.69,0
822,13182.0,45,1,121.18,0
825,13185.0,268,1,71.4,0
826,13186.0,40,3,1575.89,1
827,13187.0,337,4,328.36,0
828,13188.0,11,1,114.60000000000001,0
829,13189.0,19,2,260.68,0
830,13190.0,544,3,570.66,0
831,13191.0,658,1,159.21,0
833,13193.0,61,1,112.08,0
834,13194.0,136,2,472.78,0
835,13195.0,414,1,136.73,0
837,13197.0,610,1,373.01000000000005,0
840,13200.0,19,4,870.09,2
841,13201.0,502,4,1233.06,2
842,13202.0,394,7,1580.3,1
844,13204.0,731,1,966.6600000000001,2
847,13207.0,15,4,535.86,2
850,13210.0,94,1,353.48,0
852,13212.0,20,3,786.83,2
855,13215.0,402,1,81.6,0
856,13216.0,268,1,333.74,0
857,13217.0,122,4,666.48,2
858,13218.0,127,1,62.63999999999999,0
859,13219.0,618,1,76.23,0
860,13220.0,78,5,1336.0900000000001,1
861,13221.0,240,2,844.86,2
862,13222.0,577,1,88.5,0
863,13223.0,200,6,969.1200000000001,2
864,13224.0,60,2,2152.95,1
866,13226.0,273,2,312.46,0
867,13227.0,202,1,257.7,0
868,13228.0,81,1,358.0,0
869,13229.0,226,1,160.95,0
871,13232.0,13,7,1327.75,1
872,13233.0,74,4,1176.46,2
873,13234.0,673,2,346.5,0
874,13235.0,212,1,1031.07,2
875,13236.0,25,2,744.85,2
876,13237.0,388,1,643.0,2
877,13238.0,17,6,1006.63,2
878,13239.0,262,5,1594.69,1
880,13241.0,412,1,112.53,0
881,13242.0,112,7,699.4,2
882,13243.0,203,5,1220.38,2
883,13244.0,93,1,121.74000000000001,0
884,13245.0,51,2,989.22,2
886,13247.0,18,4,501.12,0
887,13248.0,125,2,465.68,0
889,13250.0,461,2,253.09,0
890,13251.0,402,1,252.68,0
891,13252.0,394,2,399.3,0
893,13254.0,376,1,51.410000000000004,0
894,13255.0,9,3,678.76,2
895,13257.0,436,1,149.75,0
896,13258.0,12,5,1009.43,2
898,13260.0,61,1,557.62,2
899,13261.0,269,2,944.1,2
900,13262.0,263,3,573.45,0
902,13264.0,443,1,722.5600000000001,2
903,13265.0,53,5,2092.66,1
908,13270.0,366,1,590.0,0
909,13271.0,37,1,211.49,0
910,13272.0,31,2,276.56,0
911,13273.0,113,1,138.98,0
912,13274.0,409,1,360.85,0
913,13275.0,384,2,238.86,0
914,13276.0,64,5,1891.91,1
915,13277.0,16,7,523.3,0
916,13278.0,41,4,1425.35,1
917,13279.0,78,1,137.75,0
919,13281.0,439,1,350.85,0
920,13282.0,18,4,1313.19,1
921,13283.0,60,4,373.36,0
922,13284.0,331,1,201.19,0
924,13286.0,600,1,734.91,2
925,13287.0,603,3,781.59,2
926,13288.0,443,5,927.61,2
927,13289.0,724,1,307.95,0
929,13292.0,39,5,994.51,2
930,13293.0,392,6,1192.94,2
931,13294.0,190,3,1689.53,1
932,13295.0,360,4,1101.97,2
933,13296.0,137,6,792.51,2
935,13298.0,1,1,360.0,0
936,13299.0,268,3,1218.7,2
937,13300.0,169,3,1285.51,1
938,13301.0,104,4,600.19,2
939,13302.0,155,2,159.2,0
940,13303.0,400,1,61.72,0
941,13304.0,351,4,1217.99,2
943,13306.0,430,1,53.65,0
944,13307.0,120,3,273.34,0
945,13308.0,23,4,1670.3700000000001,1
946,13309.0,7,6,1706.3700000000001,1
947,13310.0,28,5,1541.2,1
948,13311.0,4,2,598.57,2
949,13312.0,451,1,124.75,0
951,13314.0,2,3,775.94,2
952,13315.0,689,1,310.26,0
955,13318.0,1,3,640.76,2
957,13320.0,78,6,2211.6,1
958,13321.0,72,2,567.36,2
959,13322.0,17,1,199.48000000000002,0
960,13323.0,3,5,787.85,2
962,13325.0,82,1,675.3,2
963,13326.0,432,1,281.76,0
965,13328.0,316,1,1308.48,1
968,13331.0,402,1,262.4,0
969,13332.0,14,1,350.9,0
970,13333.0,411,3,1015.74,2
972,13336.0,77,1,795.12,2
973,13337.0,546,1,1575.26,1
975,13339.0,201,1,860.12,2
977,13341.0,261,1,775.85,2
978,13343.0,178,1,303.43,0
980,13345.0,288,1,339.5,0
981,13346.0,463,6,299.4,0
982,13347.0,70,1,291.36,0
983,13348.0,64,1,233.76,0
984,13349.0,11,1,197.32,0
985,13350.0,16,2,879.12,2
986,13351.0,66,1,323.94,0
987,13352.0,60,1,347.97999999999996,0
988,13354.0,71,1,743.53,2
989,13355.0,122,1,674.7,2
990,13356.0,80,1,768.24,2
992,13358.0,269,1,389.03,0
993,13359.0,64,2,943.3100000000001,2
994,13360.0,432,4,1503.65,1
995,13361.0,472,2,1450.5,1
997,13363.0,18,3,1623.86,1
998,13364.0,71,1,134.95999999999998,0
999,13365.0,34,2,2225.37,1
1000,13366.0,50,1,56.160000000000004,0
1001,13367.0,432,1,460.20000000000005,0
1002,13368.0,257,4,1021.5,2
1003,13369.0,366,1,258.28000000000003,0
1004,13370.0,372,1,754.87,2
1006,13372.0,90,1,328.64,0
1008,13374.0,415,2,372.8,0
1009,13375.0,89,2,1792.23,1
1010,13376.0,99,3,869.76,2
1011,13377.0,397,2,1452.88,1
1012,13379.0,26,3,572.56,2
1013,13380.0,433,1,62.4,0
1015,13382.0,281,5,1387.58,1
1016,13383.0,544,1,305.28000000000003,0
1018,13385.0,330,1,534.57,0
1019,13386.0,414,2,835.46,2
1020,13387.0,417,1,181.84,0
1021,13388.0,131,3,1185.65,2
1022,13389.0,11,3,797.96,2
1023,13390.0,75,1,544.08,2
1024,13391.0,204,1,59.8,0
1025,13392.0,677,1,91.14,0
1026,13393.0,584,4,1131.45,2
1028,13395.0,185,3,1180.23,2
1029,13396.0,29,2,1360.99,1
1031,13398.0,192,2,670.34,2
1032,13399.0,464,3,275.4,0
1033,13400.0,583,1,310.83,0
1034,13402.0,127,4,1226.8500000000001,2
1035,13403.0,18,3,229.5,0
1036,13404.0,1,2,252.49,0
1037,13405.0,204,5,1198.81,2
1038,13406.0,427,2,568.92,0
1042,13411.0,107,1,213.55,0
1043,13412.0,620,1,487.34999999999997,0
1044,13413.0,640,6,429.44,0
1046,13415.0,473,4,784.17,2
1047,13416.0,44,3,940.8000000000001,2
1048,13417.0,5,6,1669.49,1
1050,13419.0,64,1,221.06,0
1051,13420.0,150,2,159.85,0
1054,13423.0,429,1,217.03,0
1055,13424.0,450,1,572.77,0
1058,13427.0,19,6,1006.53,2
1059,13428.0,10,3,478.54,0
1060,13429.0,11,4,1006.8,2
1061,13430.0,19,2,679.45,2
1063,13432.0,571,2,436.55,0
1064,13433.0,501,4,658.3199999999999,2
1065,13434.0,74,5,1666.8600000000001,1
1067,13436.0,2,1,196.89,0
1069,13438.0,547,1,46.5,0
1070,13439.0,255,3,986.61,2
1071,13440.0,423,7,1295.25,1
1072,13441.0,92,2,720.9,2
1073,13442.0,667,3,419.87,0
1074,13443.0,449,6,1269.3700000000001,2
1075,13444.0,374,2,619.08,2
1076,13445.0,626,1,241.89999999999998,0
1078,13447.0,23,3,1129.14,2
1080,13449.0,24,1,291.88,0
1083,13452.0,259,3,729.8,2
1084,13453.0,166,3,781.6899999999999,2
1085,13454.0,641,1,219.87,0
1086,13455.0,25,6,2212.9900000000002,1
1087,13456.0,18,6,1766.72,1
1088,13457.0,689,2,148.22,0
1090,13459.0,625,2,1160.4099999999999,2
1091,13460.0,29,2,183.44,0
1093,13462.0,253,5,1153.85,2
1095,13465.0,446,2,931.12,2
1096,13466.0,184,5,1013.35,2
1097,13467.0,11,2,1071.91,2
1099,13469.0,653,1,82.4,0
1100,13470.0,99,2,165.0,0
1102,13472.0,464,2,592.24,0
1104,13474.0,236,3,646.59,2
1105,13475.0,191,4,1431.78,1
1106,13476.0,179,5,2061.4700000000003,1
1108,13478.0,469,5,2215.78,1
1109,13479.0,201,4,851.37,2
1110,13480.0,417,2,627.82,0
1112,13482.0,232,2,336.09,0
1113,13483.0,66,1,140.34,0
1114,13484.0,241,3,790.72,2
1116,13486.0,78,3,1122.41,2
1117,13487.0,58,5,846.87,2
1119,13489.0,105,4,449.52,0
1120,13490.0,654,1,154.25,0
1122,13492.0,136,3,1269.84,2
1123,13493.0,275,2,498.63,0
1124,13494.0,312,1,316.26000000000005,0
1126,13496.0,11,2,653.33,2
1127,13497.0,283,6,1166.83,2
